Rule_ID,Trigger_Symptoms,Modifiers,Likely_Condition,Urgency_Level
R1,Chest pain + Shortness of breath + Sweating,Sudden onset + older age,Myocardial Infarction,Emergency
R2,Fever + Headache + Stiff neck,No rash + rapid onset,Meningitis,Emergency
R3,Cough + Fever + Purulent sputum,Comorbidities,Pneumonia,High
R4,Abdominal pain (RLQ) + Nausea + Fever,Migrating pain,Appendicitis,Urgent
R5,Fatigue + Weight loss + Night sweats,Chronic + lymphadenopathy,Possible malignancy / TB,High
R6,Palpitations + Chest tightness + Dizziness,History of heart disease,Arrhythmia,Urgent
R7,Vomiting + Severe abdominal pain,Radiates to back,Pancreatitis,High
R8,Urinary urgency + Burning urination + Cloudy urine,Female gender,Urinary Tract Infection,Moderate
R9,Joint pain + Swelling + Morning stiffness,Symmetric joint involvement,Rheumatoid Arthritis,Moderate
R10,Severe headache + Visual disturbance + Jaw pain,Age > 50,Temporal Arteritis,High
R11,Cough + Hemoptysis + Weight loss,Chronic smoker,Lung Cancer,High
R12,Chest pain + Cough + Fever,Persisting symptoms,Pneumonia / Pleurisy,High
R13,Shortness of breath + Edema + Fatigue,History of heart disease,Heart Failure,Urgent
R14,Palpitations + Sweating + Tremors,Thyroid history,Hyperthyroidism,Moderate
R15,Dizziness + Palpitations + Syncope,Postural changes,Arrhythmia or Orthostatic Hypotension,High
R16,Abdominal bloating + Weight loss + Early satiety,Chronic onset,Possible GI malignancy,High
R17,Frequent urination + Thirst + Fatigue,Polyuria + polydipsia,Diabetes Mellitus,Moderate
R18,Vision changes + Headache + Vomiting,New onset raised intracranial pressure,Intracranial hemorrhage / mass,Emergency
R19,Back pain + Fever + Weight loss,Spine or vertebral involvement,Spinal infection / TB,High
R20,Joint pain + Rash + Fever,Autoimmune markers,Systemic Lupus / Vasculitis,Moderate
R21,Palpitations + Chest tightness + Anxiety,Triggered by stress,Non-cardiac palpitations / Panic attack,Mild
R22,Abdominal pain + Bloody diarrhea + Fever,Overt GI bleeding / infection,Shigella / IBD,High
R23,Headache + Neck stiffness + Photophobia,Acute onset,Subarachnoid hemorrhage / Meningitis,Emergency
R24,Chest pain + Radiating to arm + Nausea,Classic anginal features,Acute Coronary Syndrome,Emergency
R25,Severe abdominal pain + Rigid abdomen + Shock,Peritoneal signs,Perforated viscus / Peritonitis,Emergency
R26,Nausea + Vomiting + Dizziness + Confusion,Dehydration + electrolyte imbalance,Acute metabolic derangement,High
R27,Palpitations + Breathlessness + Edema,Underlying cardiac condition,Decompensated heart failure,High
R28,Severe headache + Visual changes + Hypertension history,Malignant hypertension,Posterior Reversible Encephalopathy Syndrome (PRES),Emergency
R29,Muscle weakness + Fatigue + Myalgias,Elevated CK,Myositis / Rhabdomyolysis,High
R30,Abdominal pain + Jaundice + Fever,Infective cholangitis / hepatic cause,Cholangitis,High
R31,Joint pain + Morning stiffness + Improvement with movement,Chronic feature,Osteoarthritis,Mild/Moderate
R32,Hair loss + Weight gain + Cold intolerance,Thyroid profile abnormality,Hypothyroidism,Moderate
R33,Excessive thirst + Frequent urination + Weight loss,Polyuria + polydipsia,Diabetes Mellitus,Moderate
R34,Seizures + Confusion + Headache,New onset,Brain lesion / Epilepsy,High
R35,Back pain + Leg weakness + Bladder dysfunction,Neuro signs,Spinal cord compression / Cauda equina syndrome,Emergency
R36,Unexplained bruising + Bleeding + Fatigue,Blood count abnormality,Possible hematologic disorder (leukemia),High
R37,Swollen lymph nodes + Weight loss + Night sweats,Chronic,Possible lymphoma,High
R38,Shortness of breath + Cough + Hemoptysis in smoker,Chronic risk,Possible lung cancer or TB,High
